Artikel;Beschreibung;Einsatzgebiet;Nennquerschnitt;Außendurchmesser;Zulässige Abweichung;Gewicht;Min. Temperaturbeständigkeit;Max. Temperaturbeständigkeit;Produktblatt
Leoni Mocar® 125 S 2,5-A DecaBDE free;Einadrige Fahrzeugleitung mit reduzierter Wandstärke;;2,5;3;0,3;26;-40;125;https://www.express-kabel.de/wp-content/uploads/2023/06/LEONI-MOCAR®-125-S-25-A-DecaBDE-free_76M00229.pdf
Leoni Mocar® 125 S 1,0/0,1;Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Leiter;;1;2,1;0,2;12;-50;125;https://www.express-kabel.de/wp-content/uploads/2023/06/LEONI-Mocar-125-S-10-01_76M00143K.pdf
Leoni Mocar® 125 S 2,5/0,1;Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Leiter;;2,5;3;0,3;27;-50;125;https://www.express-kabel.de/wp-content/uploads/2023/06/LEONI-Mocar-125-S-25-01_76M00163K.pdf
Leoni Mocar® 210 F 0,35-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Leiter;;0,35;1,3;0,1;5;-40;200;https://www.express-kabel.de/wp-content/uploads/2023/06/Mocar-210-F-035-A_76820011L.pdf
Leoni Mocar® 260 T 0,75-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Leiter;;0,75;1,9;0,2;10;-40;250;https://www.express-kabel.de/wp-content/uploads/2022/07/Mocar-260-T-075mm²-B-weiss.pdf
Leoni Mocar® 125 P 1,5-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Litze;;1,5;2,4;0,2;16;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/Mocar-125-P-15-B.pdf
Leoni Mocar® 125 S 0,35-A(S);Einadrige Fahrzeugleitung mit reduzierter Wandstärke und CU Leiter;;0,35;1,3;0,1;4;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/Mocar-125-s-035-A.pdf
Leoni Mocar® 125 S 1,5-A DecaBDE free;Einadrige Fahrzeugleitung mit reduzierter Wandstärke ;;1,5;2,4;0,2;16;-40;125;https://www.express-kabel.de/wp-content/uploads/2022/03/Mocar-125-s-DecaBDE-free.pdf
Leoni Mocar® 150 C 0,22-A;Einadrige Fahrzeugleitung mit reduzierter Wandstärke ;;0,22;1,2;0,1;3,1;-40;150;https://www.express-kabel.de/wp-content/uploads/2022/03/Mocar-150-C-022-A.pdf
Leoni Mocar® 150 C 0,35-B;Einadrige Fahrzeugleitung mit reduzierter Wandstärke ;;0,35;1,4;0,2;5;-40;150;https://www.express-kabel.de/wp-content/uploads/2022/03/Mocar-150-C-035-B.pdf
S03VV-F 2x0,5 BL;PVC Schlauchleitung;;2x0,5;;;36;-40;80;https://www.express-kabel.de/wp-content/uploads/2022/10/S03VV-F-2x050mm².pdf
H07V-K 1x2,5 BL;PVC Verdrahtungsleitung;;1x2,5;;;30,6;-40;70;https://www.express-kabel.de/wp-content/uploads/2022/08/H07V-K-1x250-BL_60220010K.pdf
LIYW 1X0,22 BL 24-7 UL1569;Wärmebeständige PVC Verdrahtungsleitung;Zur Innenverdrahtung von elektrischen und elektronischen Geräten.;0,22;;;3,8;-40;105;https://www.express-kabel.de/wp-content/uploads/2024/05/LIYW-1X022-BL-24-7-UL1569.pdf
LIYW (FLRY) 0,35-A AWG;PVC Verdrahtungsleitung für den Fahrzeugbereich mit UL-Zulassung;;0,35;;;4,9;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-035mm²-AWG-22.pdf
LIYW (FLRY) 0,5-B AWG21;PVC Verdrahtungsleitung für den Fahrzeugbereich mit UL-Zulassung;;0,5;;;6,2;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-050mm²-AWG-21.pdf
LIYW (FLRY) 1,0-B AWG18;PVC Verdrahtungsleitung für den Fahrzeugbereich mit UL-Zulassung;;1;;;11,5;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-100mm²-AWG-18.pdf
LIYW (FLRY) 2,5-B AWG14;PVC Verdrahtungsleitung für den Fahrzeugbereich mit UL-Zulassung;;2,5;;;25,3;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-25mm²-AWG-14.pdf
LIYW 1x0,82 SN (AWG18/16);Wärmebeständige PVC Verdrahtungsleitung;;0,82;;;9,3;-40;90;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-1x082mm²-AWG-18.pdf
LIYW 1x0,56 SN (AWG20/7);Wärmebeständige PVC Verdrahtungsleitung;Zur Innenverdrahtung von elektrischen und elektronischen Geräten.;0,57;;;7,7;-40;105;https://www.express-kabel.de/wp-content/uploads/2022/03/LiYW-1x056mm²-AWG-20.pdf
